'Elapsed time','ECG'
'hh:mm:ss.mmm','mV'
'0:00.000',3.680
'0:00.005',0.080
'0:00.010',1.560
'0:00.015',1.320
'0:00.020',1.200
'0:00.025',1.760
'0:00.030',-0.200
'0:00.035',1.200
'0:00.040',0.720
'0:00.045',1.000
'0:00.050',1.000
'0:00.055',1.000
'0:00.060',1.120
'0:00.065',1.320
'0:00.070',1.600
'0:00.075',1.800
'0:00.080',2.080
'0:00.085',2.280
'0:00.090',2.200
'0:00.095',2.040
'0:00.100',1.560
'0:00.105',1.240
'0:00.110',1.000
'0:00.115',0.880
'0:00.120',0.920
'0:00.125',0.920
'0:00.130',0.840
'0:00.135',0.800
'0:00.140',0.840
'0:00.145',0.880
'0:00.150',0.800
'0:00.155',0.840
'0:00.160',0.840
'0:00.165',0.800
'0:00.170',0.840
'0:00.175',0.840
'0:00.180',0.840
'0:00.185',0.840
'0:00.190',0.840
'0:00.195',0.840
'0:00.200',0.840
'0:00.205',0.840
'0:00.210',0.840
'0:00.215',0.800
'0:00.220',0.800
'0:00.225',0.880
'0:00.230',0.880
'0:00.235',0.880
'0:00.240',0.840
'0:00.245',0.920
'0:00.250',0.920
'0:00.255',0.920
'0:00.260',0.960
'0:00.265',0.920
'0:00.270',0.920
'0:00.275',0.920
'0:00.280',0.920
'0:00.285',0.880
'0:00.290',0.920
'0:00.295',0.840
'0:00.300',0.920
'0:00.305',0.880
'0:00.310',0.840
'0:00.315',0.800
'0:00.320',0.880
'0:00.325',0.880
'0:00.330',0.880
'0:00.335',0.920
'0:00.340',0.920
'0:00.345',0.880
'0:00.350',0.920
'0:00.355',0.920
'0:00.360',0.960
'0:00.365',0.960
'0:00.370',0.960
'0:00.375',0.960
'0:00.380',0.960
'0:00.385',1.000
'0:00.390',1.040
'0:00.395',1.040
'0:00.400',1.000
'0:00.405',1.000
'0:00.410',1.040
'0:00.415',1.000
'0:00.420',1.000
'0:00.425',1.040
'0:00.430',1.000
'0:00.435',0.960
'0:00.440',0.960
'0:00.445',0.920
'0:00.450',1.000
'0:00.455',1.000
'0:00.460',0.960
'0:00.465',0.960
'0:00.470',0.960
'0:00.475',0.920
'0:00.480',0.920
'0:00.485',0.960
'0:00.490',0.960
'0:00.495',0.960
'0:00.500',0.920
'0:00.505',0.880
'0:00.510',0.920
'0:00.515',0.920
'0:00.520',0.960
'0:00.525',0.880
'0:00.530',0.920
'0:00.535',0.960
'0:00.540',1.000
'0:00.545',0.920
'0:00.550',0.960
'0:00.555',0.960
'0:00.560',0.960
'0:00.565',1.000
'0:00.570',0.960
'0:00.575',0.920
'0:00.580',0.920
'0:00.585',0.960
'0:00.590',1.000
'0:00.595',1.000
'0:00.600',1.000
'0:00.605',0.960
'0:00.610',1.000
'0:00.615',0.960
'0:00.620',1.000
'0:00.625',1.000
'0:00.630',1.000
'0:00.635',1.040
'0:00.640',1.000
'0:00.645',1.000
'0:00.650',1.000
'0:00.655',1.000
'0:00.660',1.040
'0:00.665',1.000
'0:00.670',0.920
'0:00.675',1.000
'0:00.680',1.000
'0:00.685',1.040
'0:00.690',1.000
'0:00.695',1.000
'0:00.700',0.960
'0:00.705',0.960
'0:00.710',1.040
'0:00.715',1.000
'0:00.720',1.000
'0:00.725',1.040
'0:00.730',0.960
'0:00.735',1.000
'0:00.740',1.040
'0:00.745',1.040
'0:00.750',1.000
'0:00.755',1.000
'0:00.760',1.040
'0:00.765',1.000
'0:00.770',1.000
'0:00.775',1.040
'0:00.780',1.040
'0:00.785',1.040
'0:00.790',1.000
'0:00.795',1.000
'0:00.800',1.000
'0:00.805',1.000
'0:00.810',1.000
'0:00.815',1.000
'0:00.820',1.000
'0:00.825',1.040
'0:00.830',1.040
'0:00.835',1.040
'0:00.840',1.000
'0:00.845',0.960
'0:00.850',0.960
'0:00.855',1.000
'0:00.860',1.000
'0:00.865',1.080
'0:00.870',1.080
'0:00.875',1.000
'0:00.880',1.000
'0:00.885',1.000
'0:00.890',0.960
'0:00.895',1.000
'0:00.900',1.000
'0:00.905',0.960
'0:00.910',0.960
'0:00.915',1.040
'0:00.920',1.080
'0:00.925',1.120
'0:00.930',1.120
'0:00.935',1.080
'0:00.940',1.080
'0:00.945',1.080
'0:00.950',1.080
'0:00.955',1.080
'0:00.960',1.080
'0:00.965',1.040
'0:00.970',1.000
'0:00.975',0.960
'0:00.980',1.000
'0:00.985',1.000
'0:00.990',0.960
'0:00.995',0.920
'0:01.000',0.960
'0:01.005',0.960
