'Elapsed time','ECG'
'hh:mm:ss.mmm','mV'
'0:00.000',2.400
'0:00.005',2.500
'0:00.010',2.700
'0:00.015',2.400
'0:00.020',2.300
'0:00.025',2.600
'0:00.030',2.500
'0:00.035',2.500
'0:00.040',2.500
'0:00.045',2.600
'0:00.050',2.300
'0:00.055',2.500
'0:00.060',2.700
'0:00.065',2.500
'0:00.070',2.400
'0:00.075',2.600
'0:00.080',2.600
'0:00.085',2.400
'0:00.090',2.600
'0:00.095',2.700
'0:00.100',2.400
'0:00.105',2.600
'0:00.110',2.700
'0:00.115',2.600
'0:00.120',2.600
'0:00.125',2.800
'0:00.130',2.700
'0:00.135',2.600
'0:00.140',2.800
'0:00.145',2.900
'0:00.150',2.600
'0:00.155',2.700
'0:00.160',2.900
'0:00.165',2.800
'0:00.170',2.600
'0:00.175',3.000
'0:00.180',2.800
'0:00.185',2.600
'0:00.190',2.800
'0:00.195',2.800
'0:00.200',2.500
'0:00.205',2.600
'0:00.210',2.700
'0:00.215',2.500
'0:00.220',2.300
'0:00.225',2.500
'0:00.230',2.300
'0:00.235',2.200
'0:00.240',2.300
'0:00.245',2.400
'0:00.250',2.200
'0:00.255',2.200
'0:00.260',2.400
'0:00.265',2.200
'0:00.270',2.100
'0:00.275',2.400
'0:00.280',2.300
'0:00.285',2.100
'0:00.290',2.200
'0:00.295',2.400
'0:00.300',2.200
'0:00.305',2.300
'0:00.310',2.400
'0:00.315',2.300
'0:00.320',2.100
'0:00.325',2.500
'0:00.330',2.400
'0:00.335',2.200
'0:00.340',2.400
'0:00.345',2.500
'0:00.350',2.200
'0:00.355',2.400
'0:00.360',2.400
'0:00.365',2.200
'0:00.370',2.100
'0:00.375',2.500
'0:00.380',2.300
'0:00.385',2.300
'0:00.390',2.300
'0:00.395',2.500
'0:00.400',2.200
'0:00.405',2.200
'0:00.410',2.500
'0:00.415',2.300
'0:00.420',2.200
'0:00.425',2.500
'0:00.430',2.300
'0:00.435',2.200
'0:00.440',2.300
'0:00.445',2.400
'0:00.450',2.200
'0:00.455',2.300
'0:00.460',2.500
'0:00.465',2.300
'0:00.470',2.200
'0:00.475',2.500
'0:00.480',2.400
'0:00.485',2.200
'0:00.490',2.400
'0:00.495',2.400
'0:00.500',2.200
'0:00.505',2.300
'0:00.510',2.500
'0:00.515',2.200
'0:00.520',2.300
'0:00.525',2.400
'0:00.530',2.400
'0:00.535',2.200
'0:00.540',2.400
'0:00.545',2.400
'0:00.550',2.100
'0:00.555',2.300
'0:00.560',2.500
'0:00.565',2.300
'0:00.570',2.200
'0:00.575',2.500
'0:00.580',2.200
'0:00.585',2.200
'0:00.590',2.500
'0:00.595',2.400
'0:00.600',2.400
'0:00.605',2.500
'0:00.610',2.600
'0:00.615',2.400
'0:00.620',2.400
'0:00.625',2.400
'0:00.630',2.300
'0:00.635',2.000
'0:00.640',2.300
'0:00.645',2.400
'0:00.650',2.200
'0:00.655',2.200
'0:00.660',2.300
'0:00.665',2.100
'0:00.670',2.100
'0:00.675',2.400
'0:00.680',2.300
'0:00.685',2.100
'0:00.690',2.400
'0:00.695',2.300
'0:00.700',2.200
'0:00.705',2.300
'0:00.710',2.500
'0:00.715',2.200
'0:00.720',2.300
'0:00.725',2.400
'0:00.730',2.300
'0:00.735',2.200
'0:00.740',2.500
'0:00.745',2.500
'0:00.750',2.200
'0:00.755',2.400
'0:00.760',2.500
