'Elapsed time','ECG'
'hh:mm:ss.mmm','mV'
'0:00.000',2.800
'0:00.005',3.700
'0:00.010',7.000
'0:00.015',7.100
'0:00.020',7.100
'0:00.025',7.000
'0:00.030',7.000
'0:00.035',7.000
'0:00.040',6.900
'0:00.045',6.900
'0:00.050',6.900
'0:00.055',7.000
'0:00.060',7.100
'0:00.065',7.600
'0:00.070',8.300
'0:00.075',8.700
'0:00.080',8.600
'0:00.085',7.800
'0:00.090',7.100
'0:00.095',7.000
'0:00.100',6.700
'0:00.105',6.900
'0:00.110',6.800
'0:00.115',6.900
'0:00.120',6.900
'0:00.125',6.800
'0:00.130',6.800
'0:00.135',6.600
'0:00.140',6.700
'0:00.145',6.800
'0:00.150',6.900
'0:00.155',6.900
'0:00.160',6.700
'0:00.165',6.900
'0:00.170',7.000
'0:00.175',7.000
'0:00.180',6.900
'0:00.185',7.000
'0:00.190',6.800
'0:00.195',7.000
'0:00.200',6.900
'0:00.205',7.100
'0:00.210',6.900
'0:00.215',7.000
'0:00.220',7.000
'0:00.225',7.100
'0:00.230',7.100
'0:00.235',6.900
'0:00.240',6.900
'0:00.245',7.000
'0:00.250',7.000
'0:00.255',7.000
'0:00.260',6.900
'0:00.265',6.900
'0:00.270',7.000
'0:00.275',6.900
'0:00.280',6.800
'0:00.285',7.000
'0:00.290',6.800
'0:00.295',6.900
'0:00.300',6.900
'0:00.305',7.000
'0:00.310',7.000
'0:00.315',7.000
'0:00.320',7.000
'0:00.325',6.900
'0:00.330',6.900
'0:00.335',7.100
'0:00.340',7.000
'0:00.345',7.200
'0:00.350',7.100
'0:00.355',7.000
'0:00.360',7.200
'0:00.365',7.000
'0:00.370',7.000
'0:00.375',7.100
'0:00.380',7.000
'0:00.385',7.000
'0:00.390',7.100
'0:00.395',7.200
'0:00.400',6.900
'0:00.405',7.000
'0:00.410',7.000
'0:00.415',7.100
'0:00.420',7.000
'0:00.425',6.900
'0:00.430',6.900
'0:00.435',7.000
'0:00.440',7.100
'0:00.445',7.100
'0:00.450',6.900
'0:00.455',6.900
'0:00.460',7.000
'0:00.465',7.100
'0:00.470',7.100
'0:00.475',7.100
'0:00.480',7.100
'0:00.485',7.200
'0:00.490',7.200
'0:00.495',7.000
'0:00.500',7.300
'0:00.505',7.100
'0:00.510',7.100
'0:00.515',7.300
'0:00.520',7.100
'0:00.525',7.100
'0:00.530',7.200
'0:00.535',7.100
'0:00.540',7.100
'0:00.545',7.000
'0:00.550',7.200
'0:00.555',7.000
'0:00.560',6.900
'0:00.565',7.100
'0:00.570',6.900
'0:00.575',7.000
'0:00.580',7.000
'0:00.585',7.400
'0:00.590',7.000
'0:00.595',7.200
'0:00.600',7.300
'0:00.605',7.100
'0:00.610',7.100
'0:00.615',7.000
'0:00.620',7.300
'0:00.625',7.100
'0:00.630',7.300
'0:00.635',7.100
'0:00.640',7.100
'0:00.645',7.200
'0:00.650',7.200
'0:00.655',6.900
'0:00.660',7.200
'0:00.665',7.200
'0:00.670',7.100
'0:00.675',6.900
'0:00.680',7.000
'0:00.685',7.000
'0:00.690',7.100
'0:00.695',7.100
'0:00.700',7.800
'0:00.705',8.600
'0:00.710',8.800
'0:00.715',8.100
'0:00.720',7.500
'0:00.725',7.000
'0:00.730',7.100
'0:00.735',7.100
'0:00.740',7.200
'0:00.745',7.000
'0:00.750',7.100
'0:00.755',7.100
'0:00.760',7.000
'0:00.765',7.100
'0:00.770',6.900
'0:00.775',7.000
'0:00.780',7.100
'0:00.785',7.000
'0:00.790',7.000
'0:00.795',7.100
'0:00.800',7.100
'0:00.805',7.000
'0:00.810',7.100
'0:00.815',7.100
'0:00.820',7.000
'0:00.825',7.100
'0:00.830',7.200
'0:00.835',7.100
'0:00.840',7.100
'0:00.845',7.100
'0:00.850',7.100
'0:00.855',7.200
'0:00.860',7.100
'0:00.865',7.200
'0:00.870',7.100
'0:00.875',7.100
'0:00.880',7.100
'0:00.885',7.000
'0:00.890',7.200
'0:00.895',7.000
'0:00.900',7.100
'0:00.905',7.200
'0:00.910',7.100
'0:00.915',7.200
'0:00.920',7.100
'0:00.925',7.200
'0:00.930',7.000
'0:00.935',7.200
'0:00.940',7.200
'0:00.945',7.200
'0:00.950',7.100
'0:00.955',7.100
'0:00.960',7.100
'0:00.965',7.100
'0:00.970',7.200
'0:00.975',7.100
'0:00.980',7.000
'0:00.985',7.000
'0:00.990',7.100
'0:00.995',7.100
'0:01.000',7.300
'0:01.005',7.000
'0:01.010',7.100
'0:01.015',7.200
'0:01.020',7.000
'0:01.025',7.100
'0:01.030',7.300
'0:01.035',7.300
'0:01.040',7.100
'0:01.045',7.200
'0:01.050',7.100
'0:01.055',7.000
'0:01.060',7.300
'0:01.065',7.200
'0:01.070',7.300
'0:01.075',7.200
'0:01.080',7.100
'0:01.085',7.100
'0:01.090',7.200
'0:01.095',7.200
'0:01.100',7.200
'0:01.105',7.100
'0:01.110',7.200
'0:01.115',7.200
'0:01.120',7.100
'0:01.125',7.300
'0:01.130',7.300
'0:01.135',7.200
'0:01.140',7.200
'0:01.145',7.200
'0:01.150',7.200
'0:01.155',7.200
'0:01.160',7.300
'0:01.165',7.300
'0:01.170',7.100
'0:01.175',7.300
'0:01.180',7.200
'0:01.185',7.300
'0:01.190',7.400
'0:01.195',7.300
'0:01.200',7.200
'0:01.205',7.200
'0:01.210',7.200
'0:01.215',7.200
'0:01.220',7.200
'0:01.225',7.000
'0:01.230',7.000
'0:01.235',7.100
'0:01.240',7.000
'0:01.245',6.900
'0:01.250',7.000
'0:01.255',7.000
'0:01.260',7.000
'0:01.265',6.900
'0:01.270',7.100
'0:01.275',7.000
'0:01.280',7.000
'0:01.285',6.900
'0:01.290',6.900
'0:01.295',6.900
'0:01.300',7.000
'0:01.305',7.300
'0:01.310',7.800
'0:01.315',8.300
'0:01.320',8.500
'0:01.325',7.900
'0:01.330',7.100
'0:01.335',7.100
'0:01.340',7.000
'0:01.345',7.200
'0:01.350',7.300
'0:01.355',7.200
'0:01.360',7.200
'0:01.365',7.200
'0:01.370',7.200
'0:01.375',7.000
'0:01.380',7.200
'0:01.385',7.200
'0:01.390',7.200
'0:01.395',7.100
'0:01.400',7.100
'0:01.405',7.100
'0:01.410',7.200
'0:01.415',7.200
'0:01.420',7.100
'0:01.425',7.100
'0:01.430',6.900
'0:01.435',6.900
'0:01.440',7.100
'0:01.445',7.100
'0:01.450',6.800
'0:01.455',7.000
'0:01.460',7.000
'0:01.465',6.800
'0:01.470',6.900
'0:01.475',7.000
'0:01.480',6.900
'0:01.485',7.000
'0:01.490',6.900
'0:01.495',7.100
'0:01.500',6.900
'0:01.505',6.900
'0:01.510',7.000
'0:01.515',7.000
'0:01.520',6.800
'0:01.525',7.100
'0:01.530',6.900
'0:01.535',6.900
'0:01.540',7.000
'0:01.545',7.000
'0:01.550',7.100
'0:01.555',7.100
'0:01.560',7.000
'0:01.565',6.900
'0:01.570',7.100
'0:01.575',7.100
'0:01.580',7.100
'0:01.585',7.000
